player,team,season,type
Tecelao,None,2001-2002,club
Tecelao,None,2002-2003,club
Semedo,None,2002-2003,club
Beto,Sporting CP,2002-2003,club
Nelson,Sporting CP,2002-2003,club
Nuno Santos,Sporting CP,2002-2003,club
Tiago,Sporting CP,2002-2003,club
Pablo Contreras,Sporting CP,2002-2003,club
Hugo,Sporting CP,2002-2003,club
Joao Paulo,Sporting CP,2002-2003,club
Luis Filipe,Sporting CP,2002-2003,club
Facundo Quiroga,Sporting CP,2002-2003,club
Rui Jorge,Sporting CP,2002-2003,club
Santamaria,Sporting CP,2002-2003,club
Cesar Prates,Sporting CP,2002-2003,club
Custodio,Sporting CP,2002-2003,club
Marcos Paulo,Sporting CP,2002-2003,club
Paulo Bento,Sporting CP,2002-2003,club
Pedro Barbosa,Sporting CP,2002-2003,club
Ricardo Fernandes,Sporting CP,2002-2003,club
Rui Bento,Sporting CP,2002-2003,club
Rodrigo Tello,Sporting CP,2002-2003,club
Jardel,Sporting CP,2002-2003,club
Joao Vieira Pinto,Sporting CP,2002-2003,club
Vitaliy Kutuzov,Sporting CP,2002-2003,club
Lourenco,Sporting CP,2002-2003,club
Marius Niculae,Sporting CP,2002-2003,club
Ricardo Quaresma,Sporting CP,2002-2003,club
Sa Pinto,Sporting CP,2002-2003,club
Tonito,Sporting CP,2002-2003,club
Ladislau Boloni,Sporting CP,2002-2003,club
Roy Carroll,Manchester United,2003-2004,club
Tim Howard,Manchester United,2003-2004,club
Luke Steele,Manchester United,2003-2004,club
Wes Brown,Manchester United,2003-2004,club
Rio Ferdinand,Manchester United,2003-2004,club
Mark Lynch,Manchester United,2003-2004,club
Gary Neville,Manchester United,2003-2004,club
Phil Neville,Manchester United,2003-2004,club
John O'Shea,Manchester United,2003-2004,club
Mikael Silvestre,Manchester United,2003-2004,club
Nicky Butt,Manchester United,2003-2004,club
Eric Djemba-Djemba,Manchester United,2003-2004,club
Chris Eagles,Manchester United,2003-2004,club
Darren Fletcher,Manchester United,2003-2004,club
Quinton Fortune,Manchester United,2003-2004,club
Ryan Giggs,Manchester United,2003-2004,club
David Jones,Manchester United,2003-2004,club
Roy Keane,Manchester United,2003-2004,club
Kleberson,Manchester United,2003-2004,club
Danny Pugh,Manchester United,2003-2004,club
Kieran Richardson,Manchester United,2003-2004,club
Paul Scholes,Manchester United,2003-2004,club
Paul Tierney,Manchester United,2003-2004,club
David Bellion,Manchester United,2003-2004,club
Diego Forlan,Manchester United,2003-2004,club
Colin Heath,Manchester United,2003-2004,club
Louis Saha,Manchester United,2003-2004,club
Ole Gunnar Solskjaer,Manchester United,2003-2004,club
Ruud van Nistelrooy,Manchester United,2003-2004,club
Alex Ferguson,Manchester United,2003-2004,club
Roy Carroll,Manchester United,2004-2005,club
Tim Howard,Manchester United,2004-2005,club
Ricardo,Manchester United,2004-2005,club
Luke Steele,Manchester United,2004-2005,club
Phil Bardsley,Manchester United,2004-2005,club
Wes Brown,Manchester United,2004-2005,club
Rio Ferdinand,Manchester United,2004-2005,club
Gabriel Heinze,Manchester United,2004-2005,club
Gary Neville,Manchester United,2004-2005,club
Phil Neville,Manchester United,2004-2005,club
John O'Shea,Manchester United,2004-2005,club
Pique,Manchester United,2004-2005,club
Mikael Silvestre,Manchester United,2004-2005,club
Jonathan Spector,Manchester United,2004-2005,club
Darren Fletcher,Manchester United,2004-2005,club
Quinton Fortune,Manchester United,2004-2005,club
Ryan Giggs,Manchester United,2004-2005,club
David Jones,Manchester United,2004-2005,club
Roy Keane,Manchester United,2004-2005,club
Kleberson,Manchester United,2004-2005,club
Liam Miller,Manchester United,2004-2005,club
Floribert N'Galula,Manchester United,2004-2005,club
Paul Scholes,Manchester United,2004-2005,club
David Bellion,Manchester United,2004-2005,club
Sylvain Ebanks-Blake,Manchester United,2004-2005,club
Colin Heath,Manchester United,2004-2005,club
Eddie Johnson,Manchester United,2004-2005,club
Kyle Moran,Manchester United,2004-2005,club
Wayne Rooney,Manchester United,2004-2005,club
Giuseppe Rossi,Manchester United,2004-2005,club
Louis Saha,Manchester United,2004-2005,club
Alan Smith,Manchester United,2004-2005,club
Ole Gunnar Solskjaer,Manchester United,2004-2005,club
Ruud van Nistelrooy,Manchester United,2004-2005,club
Alex Ferguson,Manchester United,2004-2005,club
Carlos Queiroz,Manchester United,2004-2005,club
Tim Howard,Manchester United,2005-2006,club
Luke Steele,Manchester United,2005-2006,club
Edwin van der Sar,Manchester United,2005-2006,club
Wes Brown,Manchester United,2005-2006,club
